company_name,industry
ILAC International College,Higher Education
Ilavsky Chartered Accountants,Accounting & Advisory
ILSC Education Group,Higher Education
ILSCO Corporation,"Appliances, Electrical, and Electronics Manufacturing"
Image Optical,"Health, Wellness and Fitness"
imagine 1 day organization,Accounting & Advisory
iMarketing Solutions Group,Advertising Services
iMarketing Solutions Group Inc.,Advertising Services
Imart LLC,Accounting & Advisory
IMAX,Entertainment Providers
Imdex Limited,Mining
iMerciv Inc.,Mining
IMI - A Global People Company,Staffing and Recruiting
IMImobile,IT Services and IT Consulting
imimobile (part of Webex),IT Services and IT Consulting
Immigrants Working Centre,Non-profit Organizations
Immigration and Refugee Board of Canada | Commission de l'immigration et du statut de rÃ©fugiÃ©,Non-profit Organizations
Impact Consulting Group Rotman,Business Consulting and Services
IMPACT CPAs LLP,Accounting & Advisory
Impact HR+,Staffing and Recruiting
Impact Recruitment,Staffing and Recruiting
Impact Technical Products,Computer and Network Security
Impala Canada,Motor Vehicle Manufacturing
Impala Canada Ltd.,Motor Vehicle Manufacturing
Impark,Facilities Services
Imperial Capital Group Ltd.,Venture Capital and Private Equity
Imperial Capital Limited,Venture Capital and Private Equity
"Imperial Capital, LLC",Financial Services
Imperial Carpet & Home,Consumer Goods
Imperial Dade,"Transportation, Logistics and Storage"
Imperial Pacific International Holdings Limited,Gambling Facilities and Casinos
Imperial Wealth Management,Financial Services
IMS (part of Trak Global Group),Motor Vehicle Manufacturing
IMS Integrated Merchandising Solutions,Motor Vehicle Manufacturing
EMBLEM Developments,Real Estate
IN8 Group,Business Consulting and Services
INABUGGY (Formerly InstaBuggy Inc.),Business Consulting and Services
INARIA Soccer,Sporting Goods Manufacturing
INcapital Ventures,Venture Capital and Private Equity
Incha 761 Bay Inc.,Accounting & Advisory
Inclusive Advisory,Accounting & Advisory
InComm,Financial Services
In-Common Laboratories,Hospitals and Health Care
Indellient Inc.,IT Services and IT Consulting
independent,Investment Management
Independent Accounting Professional,Accounting & Advisory
Independent Consultant,Accounting & Advisory
Independent Contractor,Accounting & Advisory
Independent Electricity System Operator (IESO),Government Administration
Empire Communities,Real Estate
"Independent FP&A Consulting, International Clients",Accounting & Advisory
Independent Mechanical Supply,Building Materials
Independent Recruitment Consultant,Accounting & Advisory
Emtwo Properties Inc.,Real Estate
Engel VÃ¶lkers Roaring Fork,Real Estate
Index Exchange,Internet Publishing
India Canada Association of Waterloo Region,Non-profit Organizations
Indian Air Force,Government Administration
Indigena Capital,Financial Services
Indigenous Services Canada | Services aux Autochtones Canada,Government Administration
Indigenous Watchdog,Government Administration
Indigo,Retail
Indigoblue Group of Companies,Retail
Inditexé›†å›¢,Retail
Indiva,Pharmaceutical Manufacturing
Indus Community Services,Non-profit Organizations
IndusInd Bank,Financial Services
Industria Pizzeria + Bar,"Transportation, Logistics and Storage"
Industrial and Commercial Bank of China,Financial Services
Industrial and Commercial Bank of China (Canada),Financial Services
Industrial Brothers,Animation and Post-production
Inecta,IT Services and IT Consulting
Inergi,IT Services and IT Consulting
Inergi LP,IT Services and IT Consulting
Inergi LP (Member of Capgemini Group),IT Services and IT Consulting
Ines Di Santo,Consumer Goods
Infinidiv,Consumer Goods
Infinite Outsourcing Solutions,Staffing and Recruiting
Infinite Potential Management LP c/o Quantum Valley Investments,Investment Management
Infiniti Air Conditioning & Heating,Legal Services
INFINITI Motor Company,Motor Vehicle Manufacturing
Infinity Employment Inc.,Staffing and Recruiting
Infinity Group Construction,Facilities Services
Infinity Wealth Solutions Inc.,Financial Services
Influitive,IT Services and IT Consulting
"Infopro Business Solutions, Inc.",IT Services and IT Consulting
Infor,Software Development
Inforce Symposium 2019,Insurance
Informco,Marketing
Infotech Technologies,IT Services and IT Consulting
INFOWIZ,Software Development
Infra Pipe Solutions,Civil Engineering
Infranet,IT Services and IT Consulting
Entreprise KP,Real Estate
Infrastructure Ontario,Government Administration
Ingenico Canada Ltd.,Financial Services
INGENIOUS APPLIANCES & PACKAGING PRIVATE LIMITED,Financial Services
Ingenious Professional Consultant Inc.,Accounting & Advisory
Ingle International is now a part of MSH International (Americas),Insurance
Ingot Metal Company Ltd,Accounting & Advisory
Ingram Micro,IT Services and IT Consulting
Ingram Micro Commerce & Lifecycle Services,IT Services and IT Consulting
Initial Corporation,Marketing
Initiative,Advertising Services
INK Entertainment,Entertainment Providers
INKASÂ® Security Services Ltd.,IT Services and IT Consulting
Inkblot Therapy,Mental Hospitals and Health Care
Inkster International Inc.,Internet Publishing
Inland Metal Manufacturing(1994) Ltd.,IT Services and IT Consulting
InMoment,Marketing
Innereco Environmental Inc.,Information Technology and Services
InnerWorkings,Advertising Services
Innisfil OnRounte,Accounting & Advisory
InnoCare Ltd,Wellness and Fitness Services
Equiton inc,Real Estate
Equiton Inc.,Real Estate
ET PROPERTY CONSULTANTS LIMITED,Real Estate
Innomar Strategies,Pharmaceutical Manufacturing
Innova Wealth Partners,Financial Services
Innovative Automation Inc.,Financial Services
Innovative Vision,Advertising Services
Innovision Holdings Corporation,Manufacturing
Innovo LLP,Accounting & Advisory
Innovo Professional Corporation,Accounting & Advisory
InnVest Hotels,Hospitality
Inovatus Group,Accounting & Advisory
Inscape,Furniture and Home Furnishings Manufacturing
Europro,Real Estate
Evenica,Real Estate
Insight Sales,Financial Services
Evia Properties Group,Real Estate
Inso Aluminium / Inso Steel / Inso Property Holdings,Manufacturing
Ezra-Brickers,Real Estate
Inspirage,IT Services and IT Consulting
inspiration learning centre,Education Administration Programs
Instacart,Internet Publishing
Instant Imprints,Investment Management
Institut Trebas Institute,Internet Publishing
Institutional Limited Partners Association (ILPA),Internet Publishing
Instorage,Accounting & Advisory
Insurance Hero,Insurance
Insurance Store,Insurance
Insurance Supermarket Inc.,Insurance
Intact,Insurance
Intact Solutions,Software Development
Integracare Incorporated,Hospitals and Health Care
Integral Transportation Networks Corp.,Logistics and Supply Chain
Integrated Asset Management Corp.,Financial Services
Integrated Display Group Inc.,Design Services
Integrated Strategies Financial Services & Consulting,Accounting & Advisory
FairSquare Group Realty,Real Estate
Integrity Plus Accounting,Design Services
Fairstone,Real Estate
In-Tek Solutions,Mechanical or Industrial Engineering
INTEL AUTO TRADE INC.,Automotive
Intel Corporation,Semiconductor Manufacturing
Intelerad Medical Systems,Semiconductor Manufacturing
Intelex Technologies,Software Development
Intelex Technologies Inc.,Software Development
Intelex Technologies ULC,Software Development
"InteliSys Health, LLC",Software Development
Intelletto Technologies Inc.,Software Development
Intellifi Corporation,Financial Services
Intelligent Mechatronic Systems - IMS,Motor Vehicle Manufacturing
Intelligent Office,Executive Offices
Intelligent Office Toronto,Staffing and Recruiting
Intellipharmaceutics International Inc.,Pharmaceutical Manufacturing
IntelliroGlobal,IT Services and IT Consulting
"Intelliswift Software, Inc.",Information Technology and Services
Intelliware Development Inc.,Information Technology and Services
Fengate  Capital Management Ltd,Real Estate
Inter Medico,Hospitals and Health Care
Interac Corp.,Financial Services
Inter-Canada Fisheries,Wholesale Import and Export
Inter-Citi logistics,Accounting & Advisory
Inter-Co Division 10 Inc.,Wholesale Import and Export
InterContinental Toronto Centre,Hospitality
Inter-Cooperative Council at the University of Michigan,Non-profit Organizations
InterMetro Industries Corporation,Hospitality
Internacional Institute of Business Analysis,Financial Services
Internation Journal for Pharma and Bioscience,Non-profit Organizations
International Credit Experts Inc.,Financial Services
International Financial Data Services (IFDS),Financial Services
"International Fund Services (NA) LLC, A State Street Company",Financial Services
International Group Inc,Manufacturing
INTERNATIONAL MANUFACTURING COMPANY,Manufacturing
International Marine Group,Insurance
International Petroleum Investment Company (IPIC),Insurance
International Point of Care Inc.,Biotechnology Research
International Produce Trading Inc.,Accounting & Advisory
International Schools Partnership Limited,Education Administration Programs
Interplan accounting,Accounting & Advisory
Interprovincial Corrosion Control Co. Ltd.,Mechanical or Industrial Engineering
Fengate Asset Management,Real Estate
Intersect Power,Renewable Energy Semiconductor Manufacturing
Intersol Business Consulting,Accounting & Advisory
Interstate freight systems,Logistics and Supply Chain
Interswitch Group,Logistics and Supply Chain
Intertrust Group,Logistics and Supply Chain
Inter-Web Services,Advertising Services
Intetlast Bags and Film Corp - Haremar Plastic Manufacturing,Manufacturing
INTRA VINO INC.,Logistics and Supply Chain
Intrado,Logistics and Supply Chain
"Intragreen Roofing Systems Inc.(Also known as RoofMaintenance.ca,SkylightInstallers.ca, RoofScan.ca)",Accounting & Advisory
IntraPac International LLC,Plastics Manufacturing
Intravino - Agent Wines working with LCBO,Food and Beverage Services
Intrend Mortgage Inc.,Financial Services
Intrepid Travel,Travel Arrangements
Introhive,Software Development
Intuit,Software Development
Intuit Canada,Software Development
Intuitive,Software Development
Inukshuk Enterprise Change Management Institute,Accounting & Advisory
invÅk brands,Advertising Services
INVENTA FZE,Accounting & Advisory
Invesco Canada,Financial Services
Invesco Ltd.,Investment Management
Invespettro Wealth Management,Accounting & Advisory
Investa Insights,Financial Services
Investec,Investment Management
Investissements PSP,Financial Services
Investment Management Corporation of Ontario (IMCO),Investment Management
Investment One Financial Services Limited,Financial Services
Investment Planning Counsel,Financial Services
Investor Economics | ISS Market Intelligence,Financial Services
InvestorCOM Inc.,Financial Services
Investors Group,Financial Services
Investors Group Financial Services Inc,Financial Services
Invinity Energy Systems plc,Renewable Energy Semiconductor Manufacturing
INVIRO Engineered Systems LTD,Mechanical or Industrial Engineering
INVIRO Engineered Systems Ltd.,Mechanical or Industrial Engineering
INVIVO Communications Inc.,"Health, Wellness and Fitness"
Invotek Group,"Appliances, Electrical, and Electronics Manufacturing"
InXpress,"Appliances, Electrical, and Electronics Manufacturing"
Inyange Industries Ltd,Food and Beverage Manufacturing
Ionada Incorporated,Food and Beverage Manufacturing
Ionic Mechatronics,Automation Machinery Manufacturing
Iooho Inc.,Consumer Goods
IOV Labs,IT Services and IT Consulting
Iovate,Consumer Goods
IPA Accounting Business Solutions,Accounting & Advisory
IPAC Consulting - Infection Control,Hospitals and Health Care
IPEX Group of Companies,Wholesale Building Materials
IPG - Intertape Polymer Group,Packaging and Containers Manufacturing
IPG Mediabrands,Advertising Services
IPGCPA,Advertising Services
IPOS-A Inc,Accounting & Advisory
Fengate Capital Management,Real Estate
IPS - Invoice Payment System Corporation,Financial Services
IPS -International Power Systems,Renewable Energy Semiconductor Manufacturing
Ipsos,Market Research
IQ Intelligence IT Consulting Inc.,Market Research
iQ Offices,Staffing and Recruiting
IQ PARTNERS Inc,Staffing and Recruiting
IQ PARTNERS Inc.,Staffing and Recruiting
Irager & Associates,Investment Management
Iranian Offshore Engineering and Construction Company (IOEC),Oil and Gas
Irankho,Accounting & Advisory
Iris Business Consulting,Business Consulting and Services
Iris Pricing Solutions,Business Consulting and Services
Fengate Real Asset Investments,Real Estate
Ironbridge Equity Partners,Investment Management
Ironcloud Finance Inc,Investment Management
IronPoint,Venture Capital & Private Equity
IRP Industrial Rubber Ltd.,Wholesale Import and Export
Irving Oil,Oil and Gas
Irving Tissue,Paper and Forest Product Manufacturing
IS2 Workforce Solutions,Staffing and Recruiting
iS5 Communications Inc.,Staffing and Recruiting
ISA International Inc,Staffing and Recruiting
ISA International Inc.,Staffing and Recruiting
iSageBrum Technologies Pvt Ltd,IT Services and IT Consulting
Iscoca Ltd.,IT Services and IT Consulting
ISG Transportation Inc.,"Transportation, Logistics and Storage"
isgSearch,IT Services and IT Consulting
"Ishali Mulchandan, CPA (USA), CPA/ CGA (Canada), and ACCA (UK)",Accounting & Advisory
Islamic Relief Canada,Non-profit Organizations
Islington Chrysler FIAT,Non-profit Organizations
Islington Medical Pharmacy,Retail
ISNA High School,Education Administration Programs
Fiallo Holdings Corporation,Real Estate
Issues CentralÂ® Inc (www.issuescentral.com),Accounting & Advisory
IT Company,Information Technology and Services
Fieldgate Commercial Properties Limited,Real Estate
IT Weapons,IT Services and IT Consulting
IT XCHANGE,Computer Hardware Manufacturing
ITA - Italian Trade Agency,Computer Hardware Manufacturing
ITA TAX,Accounting & Advisory
iTel Networks Inc.,Technology and Information
iTMethods Inc.,IT Services and IT Consulting
ITN Food Corporation,Food and Beverage Manufacturing
iTrust Financial Group,Financial Services
Itsy Bitsy Baby Spa,"Health, Wellness and Fitness"
ITW Construction Products Canada,Wholesale Building Materials
Ityaadi Solutions Inc.,Import Export
Fieldgate Construction Management Limited,Real Estate
iuvo Therapeutics GmbH,Pharmaceutical Manufacturing
Ivanâ€™s Kitchen & Bath,Furniture and Home Furnishings Manufacturing
Fieldgate Developments,Real Estate
Fieldgate Homes,Real Estate
ivari,Insurance
ivari Canada,Insurance
Ivey Business School at Western University,Higher Education
IVEY Group,Staffing and Recruiting
Ivey International Business Club,Higher Education
Ivo Cutlery International Inc.,Staffing and Recruiting
Ivy Technology,Computer Hardware Manufacturing
IWB Immigrant Women in Business,Non-profit Organizations
IWK Foundation,Non-profit Organizations
J & T Machine Knife Inc.,Manufacturing
J M Wight Professional Services,Accounting & Advisory
J R Darediya & Co.,Accounting & Advisory
J R Horizon Financial Solutions,Accounting & Advisory
J&A Cleaning Solutions Ltd,Facilities Services
J&D Benefits Inc.,Insurance
J&D Executive Recruitment,Staffing and Recruiting
J&N financial service,Financial Services
J.Brent Shaw Professional Corp,Accounting & Advisory
J.D. Barnes Limited,Civil Engineering
J.D. Power,Information Services
"J.F. Chartered Professional Accountant, Professional Corporation",Accounting & Advisory
J.M.S. Design,Marketing
J.P. Morgan,Financial Services
J.P. Slattery,Accounting & Advisory
J.R. Associates,Accounting & Advisory
J.T Management (part of Sora Group of Comapnies),Consumer Goods
J+A Cleaning Solutions Ltd.,Financial Services
Fieldgates Homes,Real Estate
Jack Astor's Bar and Grill,Restaurants
Jack Filled Foreign Exchange Inc.,Financial Services
Jack Hasserjian Professional Accounting and Tax,Accounting & Advisory
Jack Link's Protein Snacks,Food and Beverage Manufacturing
"Jack Nathan Health (TSXV: JNH, OTCQB: JNHMF)","Health, Wellness and Fitness"
Jack Yeh Professional Corporation,Accounting & Advisory
Jackman,Business Consulting and Services
Jackman Reinvents,Pharmaceutical Manufacturing
Jacobs,Civil Engineering
Jacobs/Chemetics Inc.,IT Services and IT Consulting
Jade CPA Professional Corporation,Accounting & Advisory
JAE Consulting Inc.,Staffing and Recruiting
Jaguar Mining Inc.,Mining
JAHV McGregor,Accounting & Advisory
Jai Ganesh Accounting Inc,Accounting & Advisory
Jain and Jain CPA Professional Corporation,Accounting & Advisory
JaLux Consulting Services Inc.,Accounting & Advisory
Jam Filled,Entertainment Providers
Jam3,Advertising Services
Jamba Juice,Food and Beverage Manufacturing
James Dayan Accounting Corp,Accounting & Advisory
James K. Lee Accounting,Accounting & Advisory
James Rayside Professional Corporation,Accounting & Advisory
Jamesway Chick Master Incubator Inc,Farming
Jamieson Laboratories,Consumer Goods
Jamieson Wellness Inc.,Consumer Goods
JAMP Pharma Group,Pharmaceutical Manufacturing
Jan K Overweel Limited,Food and Beverage Manufacturing
Fiera Infrastructure,Real Estate
Fiera Private Debt,Real Estate
Jane.com,Retail
Fiera Real Estate,Real Estate
Jannatec Technologies,Mining
Janssen Inc.,Pharmaceutical Manufacturing
Jarden Consumer Solutions,Manufacturing
"Jarislowsky, Fraser Limited",Banking
Jarvis Consulting Group,IT Services and IT Consulting
Jarvis Law,Legal Services
Jarvis Ryan Associates,Accounting & Advisory
JAS Worldwide,Legal Services
Javed Engineering,Accounting & Advisory
Javelin Technologies,Industrial Machinery Manufacturing
Javelin Technologies - A TriMech Company,Industrial Machinery Manufacturing
Jaylor,Machinery Manufacturing
Jazz,Telecommunications
JBK Warehousing & Distribution,Warehousing and Storage
JBSUN Technologies,Warehousing and Storage
JCC Chai Sports,Accounting & Advisory
JCM Power,Renewable Energy Semiconductor Manufacturing
JCStream (Private),Information Technology and Services
Fiera Real Estate Investments Limited,Real Estate
JDCC Schulich,E-Learning
JDIMI Consulting Navacord,Insurance
JDRF/FRDJ Canada,Research Services
JDSU,Telecommunications
Jeff Wyler Automotive Family,Automotive
Jefferson Elora Corporation,Motor Vehicle Manufacturing
JELD-WEN Windows & Doors Canada,Manufacturing
JemPak,Manufacturing
"Jennifer Chan, CPA, CA",Accounting & Advisory
Jennifer Klotz Law Firm Professional Corporation,Legal Services
JENNY BIRD,Accounting & Advisory
JENOPTIK,"Appliances, Electrical, and Electronics Manufacturing"
JENSEN HUGHES,Professional Services
Jesse Tree Fine Foods,Food and Beverage Services
Jewish Foundation of Greater Toronto,Philanthropic Fundraising Services
Jewlr,Retail Apparel and Fashion
Jezfi Associates,Accounting & Advisory
JF Fabrics Inc.,Consumer Goods
JF&CS of Greater Toronto,Government Administration
JFC INTERNATIONAL CANDA INC,Food and Beverage Manufacturing
JGW Business and Tax Law LLP/JGW Avocats et conseillers d'affaires s.e.n.c.r.l.,Legal Services
Jhonson and Jhonson Medical Supply,"Health, Wellness and Fitness"
JiffyShirts.com,Retail Apparel and Fashion
Jill Moore Coaching & Consulting,E-Learning
"Jinkosolar Canada Co.,Ltd.",Renewable Energy Semiconductor Manufacturing
Jiong Gao Professional Corporation,Accounting & Advisory
JJ Meat Distributing Inc.,Food and Beverage Services
JJ Meat Distributor,Food and Beverage Services
JKA Drapery,Furniture and Home Furnishings Manufacturing
JL Solar & Renewables,Utilities
Firmland Development Corporation,Real Estate
"First Capital Financial, Worldsource Financial Management Inc.",Real Estate
JMCC Group,Biotechnology Research
JMMB Group Jamaica,Biotechnology Research
JMR Ventures,Venture Capital and Private Equity
First Capital Realty,Real Estate
JNC Study Abroad Platform,Education Administration Programs
JNuevo Jewelry Design Centre,Retail Apparel and Fashion
Job Coaster Inc.,Human Resources Services
Jobber,Software Development
Jobs For U Canada,Software Development
Jocelyn Wells - Postpartum Doula,"Health, Wellness and Fitness"
Joe Manchisi CPA-CA / My GO-TO-CFO,Accounting & Advisory
JOEY Restaurant Group,Restaurants
JoeyCo,"Transportation, Logistics and Storage"
John A. Vandervelde Chartered Professional Accountant,Accounting & Advisory
"John A. VanderVelde CPA, CA",Accounting & Advisory
John Brooks Company Limited,"Transportation, Logistics and Storage"
John Deere,Machinery Manufacturing
John G. Hofland Ltd.,Wholesale
John Hancock,Financial Services
John Hancock Retirement,Financial Services
john st.,Advertising Services
Johnson & Johnson,Consumer Goods
Johnson & Johnson Medical Companies,Consumer Goods
Johnson & Johnson Vision,Consumer Goods
Johnson Controls,Industrial Machinery Manufacturing
Johnson Electric,"Appliances, Electrical, and Electronics Manufacturing"
Johnston Beaudette CPA,Accounting & Advisory
Johnston Equipment,Machinery Manufacturing
Johnvince Foods,Food and Beverage Manufacturing
Johri CPA Professional Consulting,Accounting & Advisory
Joist,IT Services and IT Consulting
Jolera Inc.,IT Services and IT Consulting
Jonas Software,Software Development
Jonathan Ruben Professional Corporation,Financial Services
Jones & O'Connell LLP,Consumer Goods
Jones Brown Inc.,Insurance
Jones DesLauriers Insurance,Insurance
Jones Healthcare Group,Manufacturing
Jones Industrial Maintenance,Mechanical or Industrial Engineering
First Capital Realty Inc.,Real Estate
Jonluca Enterprises,"Transportation, Logistics and Storage"
Jonview Canada,"Transportation, Logistics and Storage"
Joriki Inc,"Transportation, Logistics and Storage"
Joseph Brant Hospital & Foundation,Manufacturing
Journalists for Human Rights,Non-profit Organizations
Joy Global Inc.,Mining
JOYROAD CANADA Inc,Mining
JP Balanced Accounting Ltd.,Accounting & Advisory
JP cantrade INC,Mining
JPG Exhaust Inc.,Automotive
JPL Leasing,Financial Services
JPMorgan Chase & Co.,Financial Services
JPS & PARTNERS COOPERATIVE CREDIT UNION,Accounting & Advisory
JRF International Inc/Dundas Distribution,Logistics and Supply Chain
JS Inbloom,Consumer Goods
JS Private Equity,Venture Capital & Private Equity
JSP Accounting Inc.,Accounting & Advisory
JTI (Japan Tobacco International),Tobacco Manufacturing
JTI Macdonald Corp,Tobacco Manufacturing
Jubilant Life Sciences Ltd.,Pharmaceutical Manufacturing
"Judy Holcomb-Williams, PathBreak",Business Consulting and Services
Judy Kuksis CPA,Accounting & Advisory
Juffali Commercial Vehicles,Automotive
JUICE Mobile,Advertising Services
Julie Charbonneau Design,Accounting & Advisory
JULONG GROUP INDONESIA,Oil and Gas
Jumbleberry,Advertising Services
Jump Start Career Group,Business Skills Training
Juniper Networks,Computer Networking Products
Juniper Park \ TBWA,Advertising Services
Juniper Square,Technology and Information
Just Energy,Utilities
Just For You Music,Consumer Goods
Just Print Canada Inc.,Retail
Justice Quebec,Government Administration
JVS Toronto,Staffing and Recruiting
JYW Technical Solutions,Logistics and Supply Chain
K Paul Architect Inc.,Architecture and Planning
First Capital Realty Investment Trust,Real Estate
K&M Financial Consultants,Financial Services
K.K. Chartered Professional Accountant,Accounting & Advisory
K.K. CPA,Accounting & Advisory
K.K. CPA - Chartered Professional Accountant,Accounting & Advisory
"First Capital Realty, Inc.",Real Estate
kabinhaus,Hospitality
"Kabriita USA , Gentle by Nature",Accounting & Advisory
KAD Consulting Services,Accounting & Advisory
Kaden,Advertising Services
Kagan & Kagan,Advertising Services
Kaizen Business Solutions,Advertising Services
Kal Tire,Automotive
First Capital REIT,Real Estate
Kalex Valuations Inc.,Accounting
Kal-Polymers,Plastics Manufacturing
KalTire,Automotive
Kamoto Copper Company S.a,Mining
First Gulf Corporation,Real Estate
Kandima Maldives,Hospitality
Kaneff Group,Automotive
Kanetix Ltd.,Insurance
Kanhaiya Mittal & Associates,Accounting & Advisory
FISH AND REST RESORT,Real Estate
Kapadia LLP,Accounting & Advisory
Kapital Care Mortgage Inc.,Financial Services
Forest Hill Real Estate Inc. Yorkville,Real Estate
Kappa Accounting Inc.,Accounting & Advisory
Kappa Canada Inc.,Food and Beverage Manufacturing
Karen Hanna Executive Search/Recherche de cadres,Staffing and Recruiting
KARL STORZ,Food and Beverage Manufacturing
Karma Casting,Hospitals and Health Care
Karora Resources Inc. (Formerly RNC Minerals),Mining & Metals
KARTELLE,Mining & Metals
Kartik Agarwal And Associates LLP,Accounting & Advisory
KARUR VYSYA BANK,Banking
Forgestone Capital Management LP,Real Estate
Katalyst Licensing & Promotions Inc.,Advertising Services
Forme Development Group,Real Estate
Katana Manufacturing ERP,Software Development
"Katrina Morin, CPA",Accounting & Advisory
Katz Group Canada Limited (Rexall),Retail
Katz Group Canada Ltd. / Rexall Pharma Plus,Retail
Kawartha Lakes,Government Administration
KBFP LLP,Retail
KCI Medical,Medical Equipment Manufacturing
KCK Global Limited (Formerly Known As CDS Global Inc),Information Technology and Services
Ke Wang Professional Corp.,Accounting & Advisory
Ke Wang Professional Corporation,Accounting & Advisory
KEB Hana Bank Canada,Financial Services
Keilhauer,Non-profit Organizations
Kelday & Company Professional Corporation,Accounting & Advisory
Forte Foundation,Real Estate
Foxwood Homes,Real Estate
Future Steel Buildings,Real Estate
GE Capital Real Estate,Real Estate
Georgian Communities Inc.,Real Estate
Georgian Homes,Real Estate
Georgian International,Real Estate
Kellogg Company,Food and Beverage Manufacturing
Kelly,Manufacturing
Kelly Huibers McNeely Professional Corporation,Food and Beverage Manufacturing
"Kelly Porter HÃƒÂ©tu, PC",Manufacturing
Keltech Datasafe,IT Services and IT Consulting
KelTech Datasafe Inc.,IT Services and IT Consulting
GEORGIAN PROPERTIES LIMITED,Real Estate
Kemet Group,IT Services and IT Consulting
Kemper,Insurance
Geranium,Real Estate
Kencaf Importing & Distributing Inc.,Wholesale Import and Export
Kendall Sinclair & Partners LLP,Financial Services
GH Capital Corporation,Real Estate
Kenna,Advertising Services
Kennady Diamonds Inc.,Mining & Metals
Kennedy House,Mining & Metals
Kennedy Tax & Accounting,Accounting & Advisory
Kennedy Tax & Accounting Inc.,Accounting & Advisory
Kenny Wan Chartered Accountant,Accounting & Advisory
Kenny Wan Chartered Accountant Professional Corporation,Accounting & Advisory
Kensignton Health,Hospitals and Health Care
Kensington Capital Partners Limited,Investment Management
Kensington Health,Hospitals and Health Care
Kensington Tours,Hospitality
Kenworth Toronto Ltd.,Logistics and Supply Chain
Kenya Canadian Association,Accounting & Advisory
Kepler,Telecommunications
Kepler Communications Inc.,Telecommunications
Kerbel Group Inc.,Telecommunications
KERNELS POPCORN LIMITED,Food and Beverage Manufacturing
Kerry's Place Autism Services,Hospitals and Health Care
Kestenberg Ã¢â‚¬Â¢ Rabinowicz Ã¢â‚¬Â¢ Partners LLP,Accounting & Advisory
Kestenberg Rabinowicz & Partners LLP,Accounting & Advisory
Ketones and Coffee Podcast with Lorenz,"Health, Wellness and Fitness"
KEV Group,Software Development
Glen Corporation,Real Estate
Kew media group,Media Production
Key,Consumer Services
Key Business Service,Accounting & Advisory
Key Business Services Scarborough ON,Accounting & Advisory
Key Insurance Company,Insurance
Global Construction,Real Estate
Keybase Financial Group,Financial Services
KeyData Associates,Information Technology and Services
Keyloop,Motor Vehicle Manufacturing
Keynote Search,Staffing and Recruiting
KeyScan Ltd/Inc.,IT Services and IT Consulting
Keysight Technologies,"Appliances, Electrical, and Electronics Manufacturing"
KFC,Restaurants
KFC Canada (Yum! Brands Subsidiary),Restaurants
KFI - Kataria Foods Inc.,Restaurants
K-G SPRAY-PAK INC.,Consumer Goods
KGHM International,Mining
KGS Research,Mining
KH Consulting,Information Technology and Services
Khair Agency Inc,Automotive
"khalid Naeem & Associates, CPA",Accounting & Advisory
Khazar Company,Venture Capital & Private Equity
Khiron Life Sciences Corp.,Biotechnology Research
Khoa Nguyen Consulting,"Health, Wellness and Fitness"
Khokhar Textile Mills Limited,Furniture and Home Furnishings Manufacturing
Khouri Granite Ltd,Retail
Ki3 Photonics Technologies Inc.,IT Services and IT Consulting
Kia Canada Inc.,Motor Vehicle Manufacturing
KIBO FRANCHISING LTD.,Food & Beverages
Kidikian Consulting,Legal Services
Kids & Company,Legal Services
Kids with Incarcerated Parents (KIP) Canada,Investment Management
Global Residency,Real Estate
GOLDVIEW PROPERTIES LIMITED,Real Estate
Kijiji Canada,Software Development
KIK Consumer Products,Manufacturing
KIK Custom Products,Manufacturing
Killol Day Care Centre and Pre School,Manufacturing
Goldview Property Management,Real Estate
Kimberley Wahamaa-Deschenes,Marketing
Kimberly-Clark,Manufacturing
Kimberly-Clark of Canada,Manufacturing
Kina Gbezhgomi,"Health, Wellness and Fitness"
Kinark Child and Family Services,Mental Hospitals and Health Care
Kinectrics,Utilities
Kinectrics ltd  Stericycle (Pro Dynamic Finance consulting Inc),Mechanical or Industrial Engineering
Kinesso,Advertising Services
King Package Materials Company,Manufacturing
King Towing,"Transportation, Logistics and Storage"
Goldview Property Management Ltd.,Real Estate
Go-To Developments,Real Estate
Grandfield Homes,Real Estate
King-O-Matic Industries Ltd,Motor Vehicle Manufacturing
Kingsdale Advisors,Financial Services
Kingsdown Canada,Furniture and Home Furnishings Manufacturing
Granite 95 Holdings Inc.,Real Estate
Kingstar Media,Advertising Services
Granite Homes,Real Estate
Kinka Management Inc. (Kinka Family),Food and Beverage Services
Kinobody.com,Food and Beverage Manufacturing
Kinross Gold Corporation,Mining
Kintetsu World Express,"Transportation, Logistics and Storage"
Kintetsu World Express Canada Inc.,"Transportation, Logistics and Storage"
KioSoft Technologies,IT Services and IT Consulting
Kipling Avenue Baptist Church,IT Services and IT Consulting
Granite Real Estate Investment Trust (GRP/U),Real Estate
KIRCHHOFF Automotive,Motor Vehicle Manufacturing
KIRCHHOFF Van-Rob,Motor Vehicle Manufacturing
"Kirisits & Associates CPAs, PLLC",Accounting & Advisory
Kirkland Lake Gold (KL),Mining
Kitchen Hub,Restaurants
Kitchen Stuff Plus Inc.,Retail
Kitchener Nissan,Automotive
Kivuto Solutions,IT Services and IT Consulting
KIW and Company LLP,Accounting & Advisory
KIW Company and LLP,Accounting & Advisory
Kizmet Impact,Venture Capital and Private Equity
KJS Transport Inc.,Accounting & Advisory
KKG Foundation of Canada,Accounting & Advisory
Klasner & Solomon LLP,Accounting & Advisory
